Feature_ID	Proto-language	gray_parsimony_prediction_0	gray_parsimony_prediction_1	ntips_parsimony_gray	min_parsimony_gray	min_percent_parsimony_gray	gray_parsimony_prediction	Prediction	Parsimony result (Gray et al 2009-tree posteriors)
GB082	Proto-Polynesian	1	0	129	10	0.07751937984496124	Absent	NA	NA
GB083	Proto-Central Pacific	1	0	128	18	0.140625	Absent	NA	NA
GB083	Proto-Eastern Polynesian	1	0	128	18	0.140625	Absent	NA	NA
GB083	Proto-Oceanic	1	0	128	18	0.140625	Absent	0	True Negative
GB083	Proto-Polynesian	1	0	128	18	0.140625	Absent	NA	NA
GB084	Proto-Central Pacific	1	0	128	21	0.1640625	Absent	NA	NA
GB084	Proto-Eastern Polynesian	1	0	128	21	0.1640625	Absent	NA	NA
GB084	Proto-Oceanic	1	0	128	21	0.1640625	Absent	0	True Negative
GB084	Proto-Polynesian	1	0	128	21	0.1640625	Absent	NA	NA
GB086	Proto-Central Pacific	1	0	121	40	0.3305785123966942	Absent	NA	NA
GB086	Proto-Eastern Polynesian	1	0	121	40	0.3305785123966942	Absent	NA	NA
GB086	Proto-Oceanic	1	0	121	40	0.3305785123966942	Absent	1	False Negative
GB086	Proto-Polynesian	1	0	121	40	0.3305785123966942	Absent	NA	NA
GB089	Proto-Central Pacific	1	0	129	13	0.10077519379844961	Absent	NA	NA
GB089	Proto-Eastern Polynesian	1	0	129	13	0.10077519379844961	Absent	NA	NA
GB089	Proto-Oceanic	1	0	129	13	0.10077519379844961	Absent	0	True Negative
GB089	Proto-Polynesian	1	0	129	13	0.10077519379844961	Absent	NA	NA
GB090	Proto-Central Pacific	1	0	129	51	0.3953488372093023	Absent	NA	NA
GB090	Proto-Eastern Polynesian	1	0	129	51	0.3953488372093023	Absent	NA	NA
GB090	Proto-Oceanic	0.355	0.645	129	51	0.3953488372093023	Present	1	True Positive
GB090	Proto-Polynesian	1	0	129	51	0.3953488372093023	Absent	NA	NA
GB091	Proto-Central Pacific	1	0	126	10	0.07936507936507936	Absent	NA	NA
GB091	Proto-Eastern Polynesian	1	0	126	10	0.07936507936507936	Absent	NA	NA
GB091	Proto-Oceanic	1	0	126	10	0.07936507936507936	Absent	0	True Negative
GB091	Proto-Polynesian	1	0	126	10	0.07936507936507936	Absent	NA	NA
GB092	Proto-Central Pacific	1	0	125	46	0.368	Absent	NA	NA
GB092	Proto-Eastern Polynesian	1	0	125	46	0.368	Absent	NA	NA
GB092	Proto-Oceanic	0.355	0.645	125	46	0.368	Present	1	True Positive
GB092	Proto-Polynesian	1	0	125	46	0.368	Absent	NA	NA
GB093	Proto-Central Pacific	0	1	128	52	0.40625	Present	NA	NA
GB093	Proto-Eastern Polynesian	1	0	128	52	0.40625	Absent	NA	NA
GB093	Proto-Oceanic	0	1	128	52	0.40625	Present	1	True Positive
GB093	Proto-Polynesian	0.98	0.02	128	52	0.40625	Absent	NA	NA
GB094	Proto-Central Pacific	1	0	128	2	0.015625	Absent	NA	NA
GB094	Proto-Eastern Polynesian	1	0	128	2	0.015625	Absent	NA	NA
GB094	Proto-Oceanic	1	0	128	2	0.015625	Absent	0	True Negative
GB094	Proto-Polynesian	1	0	128	2	0.015625	Absent	NA	NA
GB095	Proto-Central Pacific	1	0	115	6	0.05217391304347826	Absent	NA	NA
GB095	Proto-Eastern Polynesian	1	0	115	6	0.05217391304347826	Absent	NA	NA
GB095	Proto-Oceanic	1	0	115	6	0.05217391304347826	Absent	NA	NA
GB095	Proto-Polynesian	1	0	115	6	0.05217391304347826	Absent	NA	NA
GB096	Proto-Central Pacific	1	0	116	15	0.12931034482758622	Absent	NA	NA
GB096	Proto-Eastern Polynesian	0.995	0.005	116	15	0.12931034482758622	Absent	NA	NA
GB096	Proto-Oceanic	1	0	116	15	0.12931034482758622	Absent	NA	NA
GB096	Proto-Polynesian	1	0	116	15	0.12931034482758622	Absent	NA	NA
GB098	Proto-Central Pacific	1	0	116	22	0.1896551724137931	Absent	NA	NA
GB098	Proto-Eastern Polynesian	1	0	116	22	0.1896551724137931	Absent	NA	NA
GB098	Proto-Oceanic	1	0	116	22	0.1896551724137931	Absent	NA	NA
GB098	Proto-Polynesian	1	0	116	22	0.1896551724137931	Absent	NA	NA
GB099	Proto-Central Pacific	1	0	102	2	0.0196078431372549	Absent	NA	NA
GB099	Proto-Eastern Polynesian	1	0	102	2	0.0196078431372549	Absent	NA	NA
GB099	Proto-Oceanic	1	0	102	2	0.0196078431372549	Absent	NA	NA
GB099	Proto-Polynesian	1	0	102	2	0.0196078431372549	Absent	NA	NA
GB103	Proto-Central Pacific	1	0	106	14	0.1320754716981132	Absent	NA	NA
GB103	Proto-Eastern Polynesian	1	0	106	14	0.1320754716981132	Absent	NA	NA
GB103	Proto-Oceanic	0.685	0.315	106	14	0.1320754716981132	Absent	NA	NA
GB103	Proto-Polynesian	1	0	106	14	0.1320754716981132	Absent	NA	NA
GB104	Proto-Central Pacific	0.9516666666666667	0.04833333333333333	105	13	0.12380952380952381	Absent	NA	NA
GB104	Proto-Eastern Polynesian	1	0	105	13	0.12380952380952381	Absent	NA	NA
GB104	Proto-Oceanic	1	0	105	13	0.12380952380952381	Absent	NA	NA
GB104	Proto-Polynesian	0.9516666666666667	0.04833333333333333	105	13	0.12380952380952381	Absent	NA	NA
GB105	Proto-Central Pacific	0.746468253968254	0.25353174603174605	98	48	0.4897959183673469	Absent	NA	NA
GB105	Proto-Eastern Polynesian	0.94	0.06	98	48	0.4897959183673469	Absent	NA	NA
GB105	Proto-Oceanic	0.415	0.585	98	48	0.4897959183673469	Half	0	Half
GB105	Proto-Polynesian	1	0	98	48	0.4897959183673469	Absent	NA	NA
GB107	Proto-Central Pacific	1	0	131	31	0.2366412213740458	Absent	NA	NA
GB107	Proto-Eastern Polynesian	1	0	131	31	0.2366412213740458	Absent	NA	NA
GB107	Proto-Oceanic	1	0	131	31	0.2366412213740458	Absent	NA	NA
GB107	Proto-Polynesian	1	0	131	31	0.2366412213740458	Absent	NA	NA
GB108	Proto-Central Pacific	1	0	122	43	0.3524590163934426	Absent	NA	NA
GB108	Proto-Eastern Polynesian	1	0	122	43	0.3524590163934426	Absent	NA	NA
GB108	Proto-Oceanic	0.94	0.06	122	43	0.3524590163934426	Absent	NA	NA
GB108	Proto-Polynesian	0.975	0.025	122	43	0.3524590163934426	Absent	NA	NA
GB109	Proto-Central Pacific	1	0	99	11	0.1111111111111111	Absent	NA	NA
GB109	Proto-Eastern Polynesian	1	0	99	11	0.1111111111111111	Absent	NA	NA
GB109	Proto-Oceanic	1	0	99	11	0.1111111111111111	Absent	NA	NA
GB109	Proto-Polynesian	1	0	99	11	0.1111111111111111	Absent	NA	NA
GB110	Proto-Central Pacific	1	0	100	0	0	Absent	NA	NA
GB110	Proto-Eastern Polynesian	1	0	100	0	0	Absent	NA	NA
GB110	Proto-Oceanic	1	0	100	0	0	Absent	NA	NA
GB110	Proto-Polynesian	1	0	100	0	0	Absent	NA	NA
GB111	Proto-Central Pacific	1	0	119	11	0.09243697478991597	Absent	NA	NA
GB111	Proto-Eastern Polynesian	1	0	119	11	0.09243697478991597	Absent	NA	NA
GB111	Proto-Oceanic	1	0	119	11	0.09243697478991597	Absent	NA	NA
GB111	Proto-Polynesian	1	0	119	11	0.09243697478991597	Absent	NA	NA
GB113	Proto-Central Pacific	0	1	123	22	0.17886178861788618	Present	1	True Positive
GB113	Proto-Eastern Polynesian	0	1	123	22	0.17886178861788618	Present	NA	NA
GB113	Proto-Oceanic	0	1	123	22	0.17886178861788618	Present	1	True Positive
GB113	Proto-Polynesian	0	1	123	22	0.17886178861788618	Present	1	True Positive
GB114	Proto-Central Pacific	1	0	106	15	0.14150943396226415	Absent	NA	NA
GB114	Proto-Eastern Polynesian	1	0	106	15	0.14150943396226415	Absent	NA	NA
GB114	Proto-Oceanic	1	0	106	15	0.14150943396226415	Absent	NA	NA
GB114	Proto-Polynesian	1	0	106	15	0.14150943396226415	Absent	NA	NA
GB115	Proto-Central Pacific	0	1	112	41	0.36607142857142855	Present	1	True Positive
GB115	Proto-Eastern Polynesian	1	0	112	41	0.36607142857142855	Absent	NA	NA
GB115	Proto-Oceanic	0.06	0.94	112	41	0.36607142857142855	Present	1	True Positive
GB115	Proto-Polynesian	0	1	112	41	0.36607142857142855	Present	1	True Positive
GB116	Proto-Central Pacific	1	0	106	1	0.009433962264150943	Absent	NA	NA
GB116	Proto-Eastern Polynesian	1	0	106	1	0.009433962264150943	Absent	NA	NA
GB116	Proto-Oceanic	1	0	106	1	0.009433962264150943	Absent	NA	NA
GB116	Proto-Polynesian	1	0	106	1	0.009433962264150943	Absent	NA	NA
GB117	Proto-Central Pacific	1	0	113	22	0.19469026548672566	Absent	NA	NA
GB117	Proto-Eastern Polynesian	1	0	113	22	0.19469026548672566	Absent	NA	NA
GB117	Proto-Oceanic	1	0	113	22	0.19469026548672566	Absent	0	True Negative
GB117	Proto-Polynesian	0.635	0.365	113	22	0.19469026548672566	Absent	NA	NA
GB118	Proto-Central Pacific	0.35	0.65	107	23	0.21495327102803738	Present	NA	NA
