ID	Grambank_ID_desc	Name	OV vs VO types (excl affixes)	OV VO score for counting	Binary_Multistate	ColumnSpec	Patrons	Boundness	Flexivity	Gender_or_Noun_Class	Locus_of_Marking	Word_Order	Informativity
GB252	GB252 PredPOSSLoc	Can predicative possession be expressed with an S-like possessum and a locative-coded possessor?	NA	NA	Binary	NA	HS	NA	NA	NA	NA	NA	NA
GB253	GB253 PredPOSSDat	Can predicative possession be expressed with an S-like possessum and a dative-coded possessor?	NA	NA	Binary	NA	HS	NA	NA	NA	NA	NA	NA
GB254	GB254 PredPOSSAdnom	Can predicative possession be expressed with an S-like possessum and a possessor that is coded like an adnominal possessor?	NA	NA	Binary	NA	HS	NA	NA	NA	NA	NA	NA
GB256	GB256 PredPOSSComitative	Can predicative possession be expressed with an S-like possessor and a possessum that is coded like a comitative argument?	NA	NA	Binary	NA	HS	NA	NA	NA	NA	NA	NA
GB257	GB257 QIntonation	Can polar interrogation be marked by intonation only?	NA	NA	Binary	NA	JLA JC	NA	NA	NA	NA	NA	NA
GB260	GB260 QWordOrder	Can polar interrogation be indicated by a special word order?	NA	NA	Binary	NA	JLA JC	NA	NA	NA	NA	NA	NA
GB262	GB262 QPartInitial	Is there a clause-initial polar interrogative particle?	NA	NA	Binary	NA	JLA JC	0	NA	NA	NA	1	NA
GB263	GB263 QPartFinal	Is there a clause-final polar interrogative particle?	NA	NA	Binary	NA	JLA JC	0	NA	NA	NA	NA	NA
GB264	GB264 QPartMedial	Is there a polar interrogative particle that most commonly occurs neither clause-initially nor clause-finally?	NA	NA	Binary	NA	JLA JC	0	NA	NA	NA	NA	NA
GB265	GB265 COMPARExceed	Is there a comparative construction that includes a form that elsewhere means 'surpass, exceed'?	NA	NA	Binary	NA	HJH	NA	NA	NA	NA	NA	NA
GB266	GB266 COMPARLoc	Is there a comparative construction that employs a marker of the standard which elsewhere has a locational meaning?	NA	NA	Binary	NA	HJH	NA	NA	NA	NA	NA	NA
GB270	GB270 COMPARConjoin	Can comparatives be expressed using two conjoined clauses?	NA	NA	Binary	NA	HJH	NA	NA	NA	NA	NA	NA
GB273	GB273 COMPAROtherMarker	Is there a comparative construction with a standard marker that elsewhere has neither a locational meaning nor a 'surpass/exceed' meaning?	NA	NA	Binary	NA	HJH	NA	NA	NA	NA	NA	NA
GB275	GB275 COMPDegreeBound	Is there a bound comparative degree marker on the property word in a comparative construction?	NA	NA	Binary	NA	HJH	1	NA	NA	NA	NA	NA
GB276	GB276 COMPDegreeFree	Is there a non-bound comparative degree marker modifying the property word in a comparative construction?	NA	NA	Binary	NA	HJH	NA	NA	NA	NA	NA	NA
GB285	GB285 QPartVMorph	Can polar interrogation be marked by a question particle and verbal morphology?	NA	NA	Binary	NA	JLA JC	1	NA	NA	NA	NA	NA
GB286	GB286 QVMorph	Can polar interrogation be indicated by overt verbal morphology only?	NA	NA	Binary	NA	JLA JC	1	NA	NA	NA	NA	NA
GB291	GB291 QTone	Can polar interrogation be marked by tone?	NA	NA	Binary	NA	JLA JC	NA	NA	NA	NA	NA	NA
GB296	GB296 Ideophones	Is there a phonologically or morphosyntactically definable class of ideophones that includes ideophones depicting imagery beyond sound?	NA	NA	Binary	NA	JLE	NA	NA	NA	NA	NA	NA
GB297	GB297 QVNotV	Can polar interrogation be indicated by a V-not-V construction?	NA	NA	Binary	NA	JLA JC	NA	NA	NA	NA	NA	NA
GB298	GB298 NEGAux	Can standard negation be marked by an inflecting word (""""""""auxiliary verb"""""""")?	NA	NA	Binary	NA	HS	1	NA	NA	NA	NA	NA
GB299	GB299 NEGPart	Can standard negation be marked by a non-inflecting word (""""""""auxiliary particle"""""""")?	NA	NA	Binary	NA	HS	0	NA	NA	NA	NA	NA
GB300	GB300 VSupplGive	Does the verb for 'give' have suppletive verb forms?	NA	NA	Binary	NA	HS	NA	1	NA	NA	NA	NA
GB301	GB301 Inclusory	Is there an inclusory construction?	NA	NA	Binary	NA	JLA JC	NA	NA	NA	NA	NA	NA
GB302	GB302 PassiveFree	Is there a phonologically free passive marker (""""""""particle"""""""" or """"""""auxiliary"""""""")?	NA	NA	Binary	NA	JLE	0	NA	NA	NA	NA	passive
GB303	GB303 AntipassiveFree	Is there a phonologically free antipassive marker (""""""""particle"""""""" or """"""""auxiliary"""""""")?	NA	NA	Binary	NA	JLE	0	NA	NA	NA	NA	antipassive
GB304	GB304 PassiveA-ArgOvert	Can the agent be expressed overtly in a passive clause?	NA	NA	Binary	NA	JLE	NA	NA	NA	NA	NA	NA
GB305	GB305 PRORefl	Is there a phonologically independent reflexive pronoun?	NA	NA	Binary	NA	JLE	NA	NA	NA	NA	NA	reflexivity
GB306	GB306 PROReciproc	Is there a phonologically independent non-bipartite reciprocal pronoun?	NA	NA	Binary	NA	JLE	NA	NA	NA	NA	NA	reciprocity
GB309	GB309 MultiplePastFuture	Are there multiple past or multiple future tenses, distinguishing distance from Time of Reference?	NA	NA	Binary	NA	HS	NA	NA	NA	NA	NA	multipletense
GB312	GB312 MoodBoundV	Is there overt morphological marking on the verb dedicated to mood?	NA	NA	Binary	NA	HS	1	NA	NA	NA	NA	mood
GB313	GB313 PROPoss	Are there special adnominal possessive pronouns that are not formed by an otherwise regular process?	NA	NA	Binary	NA	HJH	NA	NA	NA	NA	NA	NA
GB314	GB314 AUGgender	Can augmentative meaning be expressed productively by a shift of gender/noun class?	NA	NA	Binary	NA	JLA JC	NA	NA	NA	NA	NA	augmentative
GB315	GB315 DIMGender	Can diminutive meaning be expressed productively by a shift of gender/noun class?	NA	NA	Binary	NA	JLA JC	NA	NA	NA	NA	NA	diminutive
