Feature_ID	Proto-language	value	tree_type	variable	method	conflict
GB139	Proto-Central Pacific	Present	glottolog	prediction	parsimony	
GB139	Proto-Eastern Polynesian	Present	glottolog	prediction	parsimony	
GB140	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB140	Proto-Oceanic	Half	glottolog	prediction	parsimony	
GB140	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB140	Proto-Polynesian	Half	glottolog	prediction	parsimony	
GB146	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB146	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB146	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB146	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB147	Proto-Eastern Polynesian	Present	glottolog	prediction	parsimony	
GB147	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB147	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB147	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB148	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB148	Proto-Central Pacific	Half	glottolog	prediction	parsimony	
GB148	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB148	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB149	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB149	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB149	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB149	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB150	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB150	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB150	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
