pol_complex_code_Hedvig,me_stripped,Smallest_Island_group_main,reference if not same as Sheehan,glottocode,_prop,Sheehan_2018_code,EA033_code,EA032_code,same,Glottocode_spec,Language_level_ID,level,Family_me
1,Kula Vanuatu,Santo,Bonnemaison (1996:200),wusi1237,,,,,,wusi1237,wusi1237,language,Austronesian
1,Movono,"Santo, Tangoa",Bonnemaison (1996:200),tang1347,,,,,,tang1347,tang1347,language,Austronesian
,Satawalese,Satawal,Not applicable,sata1237,,,,,,sata1237,sata1237,language,Austronesian
,Sikaia,Sikaia,Not applicable,sika1261,,,,,,sika1261,sika1261,language,Austronesian
,Sonsorol,Sonsorol,Not applicable,sons1242,,,,,,sons1242,sons1242,language,Austronesian
,South Marquesan,South Marquesas,Not applicable,sout2866,,,,,,sout2866,sout2866,language,Austronesian
,Takuu,Takuu,Not applicable,taku1257,,,,,,taku1257,taku1257,language,Austronesian
,Tamambo,Tamambo,Not applicable,malo1243,,,,,,malo1243,malo1243,language,Austronesian
1,Southwest Tan,Tan,"Lindstr�m, Lamont (1991) Ajie. Encyclopaedia of World Cultures (Vol II: Oceania) (G.K. Hall & Co, New York, NY), pp 314.",sout2869,0.1487179487,,2,,,sout2869,sout2869,language,Austronesian
,Kwamera,Tan,Not applicable,kwam1252,,,,,,kwam1252,kwam1252,language,Austronesian
1,Lekel,Tan,"Comment from Oliver: “The difference between 1 and 0 is whether or not centralized political authority exists at the local level. A society would be coded '1' if it consisted of autonomous local communities which each had a system of authority, e.g. a village council. If local communities were associations of households (or other sub-local groups, such as village wards) with no overarching system of authority, the society would be coded '0'.The EA does not make this distinction, since it focuses exclusively on levels of authority beyond the local community. I would recommend using the EA variable, since from a linguistic diversity perspective I don't imagine this distinction would matter. “",le1238,0,0,,,,le1238,le1238,language,Austronesian
,North Tan,Tan,Not applicable,nort2847,,,,,,nort2847,nort2847,language,Austronesian
,Whitesands,Tan,Not applicable,whit1269,,,,,,whit1269,whit1269,language,Austronesian
,Teanu,Te Anu,Not applicable,tean1237,,,,,,tean1237,tean1237,language,Austronesian
1,LoToga,"Tegua, Loh-Toga",Bonnemaison (1996:200),loto1240,,,,,,loto1240,loto1240,language,Austronesian
2,Tikopia,Tikopia,Not applicable,tiko1237,0.1846153846,2,2,,same,tiko1237,tiko1237,language,Austronesian
,Tobian,Tobi,Not applicable,tobi1238,,,,,,tobi1238,tobi1238,language,Austronesian
2,Tokelau,Tokelau,Not applicable,toke1240,0.0769230769,2,2,,same,toke1240,toke1240,language,Austronesian
3,Tonga Tonga Islands,Tonga,Not applicable,tong1325,0.1128205128,3,3,,same,tong1325,tong1325,language,Austronesian
,makura,Tongoa,Not applicable,ma1268,,,,,,ma1268,ma1268,language,Austronesian
2,Gilbertese,Tungaru,Not applicable,gilb1244,0.1230769231,2,,,,gilb1244,gilb1244,language,Austronesian
2,Austral,Tupuai,"Aitken does mention paramount rules, but they seem to have been instable.",aust1304,,2,,,,tubu1240,aust1304,language,Austronesian
,Tutuba,Tutuba,Not applicable,tutu1241,,,,,,tutu1241,tutu1241,language,Austronesian
2,Tuvalu,Tuvalu,Not applicable,tuva1244,0.0820512821,2,2,,same,tuva1244,tuva1244,language,Austronesian
2,Ulithian,Ulithi,Not applicable,ulit1238,0.0923076923,,2,,,ulit1238,ulit1238,language,Austronesian
1,Lehali,Ureparapara,Bonnemaison (1996:200),leha1243,,,,,,leha1243,leha1243,language,Austronesian
