Language_ID	aes	category	classification	level	med	subclassification	Name	Macroarea	Latitude	Longitude	Glottocode	ISO639P3code	Countries	Family_ID	Language_level_ID
chuu1238	not endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/micr1243/micr1244/cent2276/west2844/pona1247/truk1243/nucl1749/cent2290/east2764/mort1238	language	grammar sketch	(east2441:1,fayi1237:1)chuu1238:1	Chuukese	Papunesia	7.346993	151.598607	chuu1238	chk	FM	aust1307	chuu1238
daka1243	not endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/nort3195/cent2269/ambr1240/port1292/port1293	language	long grammar	(sesi1237:1)daka1243:1	Dakaka	Papunesia	-16.2696	168.013	daka1243	bpa	VU	aust1307	daka1243
damb1246	threatened	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/nort3206/huon1245/sout2878/buan1245/mume1239/damb1252	language	Wordlist or less	damb1246:1	Dambi	Papunesia	-7.00587	146.474	damb1246	dac	PG	aust1307	damb1246
dawa1242	not endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/papu1253/nucl1744/nort2848/kaka1266	language	Wordlist or less	dawa1242:1	Dawawa	Papunesia	-10.1692	149.999	dawa1242	dww	PG	aust1307	dawa1242
dehu1237	not endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/sout3173/newc1243/loya1239	language	grammar	(losi1239:1,wete1237:1)dehu1237:1	Dehu	Papunesia	-20.8892	167.229	dehu1237	dhv	NC	aust1307	dehu1237
diod1237	not endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/papu1253/nucl1744/nort2848/bwai1241	language	Wordlist or less	(awal1237:1,cent2065:1,iaui1237:1,utal1237:1)diod1237:1	Diodio	Papunesia	-9.38654	150.168	diod1237	ddi	PG	aust1307	diod1237
dixo1238	moribund	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/nort3195/cent2269/mala1539/west2871/peri1262/sout3240	language	Wordlist or less	dixo1238:1	Dixon Reef	Papunesia	-16.3267	167.516	dixo1238	dix	VU	aust1307	dixo1238
dobu1241	not endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/papu1253/nucl1744/nort2848/dobu1240	language	grammar sketch	(cent2069:1,galu1239:1,lobo1241:1,sana1279:1,ubui1237:1)dobu1241:1	Dobu	Papunesia	-9.63239	150.825	dobu1241	dob	PG	aust1307	dobu1241
doga1238	shifting	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/papu1253/nucl1744/nort2848/aret1241/arei1235/ared1234	language	Wordlist or less	doga1238:1	Doga	Papunesia	-9.63698	149.841	doga1238	dgg	PG	aust1307	doga1238
dori1246	not endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/sout2853/mala1485/mala1540/mala1542/sout3198	language	Wordlist or less	dori1246:1	Dori'o	Papunesia	-9.11536	160.897	dori1246	dor	SB	aust1307	dori1246
duau1237	not endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/papu1253/nucl1744/nort2848/dobu1240	language	Wordlist or less	(dawa1243:1,gule1242:1,mwal1238:1,siau1242:1,somw1237:1)duau1237:1	Duau	Papunesia	-10.187	151.218	duau1237	dva	PG	aust1307	duau1237
duke1237	not endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/meso1253/newi1242/stge1234/nort3225/newg1239/west2857	language	Wordlist or less	duke1237:1	Duke	Papunesia	-7.97768	157.064	duke1237	nke	SB	aust1307	duke1237
dumb1241	threatened	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/sout3173/newc1243/main1286/sout3313/extr1245	language	grammar sketch	(nrum1234:1,pait1249:1,weny1239:1)dumb1241:1	Dumbea	Papunesia	-22.0947	166.531	dumb1241	duf	NC	aust1307	dumb1241
duwe1237	shifting	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/nort3206/huon1245/mark1257/lowe1411/busu1245	language	phonology/text	duwe1237:1	Duwet	Papunesia	-6.45752	146.841	duwe1237	gve	PG	aust1307	duwe1237
east2443	not endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/nort3195/nort3205/amba1270	language	long grammar	(lolo1262:1,lomb1262:1,long1396:1)east2443:1	East Ambae	Papunesia	-15.3523	167.89	east2443	omb	VU	aust1307	east2443
east2447	not endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/cent2060/east2445/poly1242/nucl1485	language	grammar	east2447:1	East Futuna	Papunesia	-14.278717	-178.137222	east2447	fud	WF	aust1307	east2447
