Feature_ID	Proto-language	parsimony_glottolog	parsimony_gray_mcct	parsimony_gray_posteriors	ML_glottolog	ML_gray_mcct	ML_gray_posteriors	most_common_most_common	HL_HL
GB094	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB094	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB095	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB095	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB095	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB095	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB096	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB096	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB096	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB096	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB098	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB098	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB098	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB098	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB099	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB099	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB099	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB099	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB103	Proto-Oceanic	Absent	Half	Absent	Absent	Absent	Absent	Absent	
GB103	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB103	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB103	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB104	Proto-Oceanic	Absent	Absent	Absent	Present	Absent	Absent	Absent	
GB104	Proto-Central Pacific	Half	Absent	Absent	Present	Absent	Absent	Absent	
GB104	Proto-Polynesian	Absent	Absent	Absent	Present	Absent	Absent	Absent	
GB104	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB105	Proto-Oceanic	Absent	Half	Half	Absent	Half	Half	Half	Absent
GB105	Proto-Central Pacific	Absent	Absent	Absent	Absent	Half	Absent	Absent	
GB105	Proto-Polynesian	Absent	Absent	Absent	Absent	Half	Absent	Absent	
GB105	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Half	Absent	Half	
GB107	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB107	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB107	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB107	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB108	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB108	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB108	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB108	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB109	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB109	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB109	Proto-Polynesian	Absent	Absent	Absent	Present	Present	Present	Absent	
GB109	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Present	Absent	Absent	
GB110	Proto-Oceanic	Absent	Absent	Absent				Absent	
GB110	Proto-Central Pacific	Absent	Absent	Absent				Absent	
GB110	Proto-Polynesian	Absent	Absent	Absent				Absent	
