Feature_ID	Proto-language	gray_ML_prediction_0	gray_ML_prediction_1	ntips_ML_gray	min_ML_gray	min_percent_ML_gray	gray_ML_prediction	Prediction	ML result (Gray et al 2009-tree posteriors)
GB074	Proto-Polynesian	1.1021936267904792e-4	0.9998897806373209	128	9	0.0703125	Present	1	True Positive
GB075	Proto-Central Pacific	0.9990330565974653	9.669434025347117e-4	122	15	0.12295081967213115	Absent	NA	NA
GB075	Proto-Eastern Polynesian	0.999978728398087	2.1271601912996154e-5	122	15	0.12295081967213115	Absent	NA	NA
GB075	Proto-Oceanic	0.8961296944632474	0.10387030553675254	122	15	0.12295081967213115	Absent	0	True Negative
GB075	Proto-Polynesian	0.9998801510103419	1.1984898965813334e-4	122	15	0.12295081967213115	Absent	NA	NA
GB079	Proto-Central Pacific	0.09162342681845553	0.9083765731815444	131	12	0.0916030534351145	Present	1	True Positive
GB079	Proto-Eastern Polynesian	0.09162350589026066	0.9083764941097393	131	12	0.0916030534351145	Present	NA	NA
GB079	Proto-Oceanic	0.09162342681584304	0.908376573184157	131	12	0.0916030534351145	Present	1	True Positive
GB079	Proto-Polynesian	0.09162342687281277	0.9083765731271872	131	12	0.0916030534351145	Present	NA	NA
GB080	Proto-Central Pacific	0.19755597310454026	0.8024440268954597	130	26	0.2	Present	NA	NA
GB080	Proto-Eastern Polynesian	0.6936065793792346	0.3063934206207653	130	26	0.2	Absent	NA	NA
GB080	Proto-Oceanic	0.14931338845843056	0.8506866115415694	130	26	0.2	Present	NA	NA
GB080	Proto-Polynesian	0.4624742192900914	0.5375257807099086	130	26	0.2	Half	NA	NA
GB081	Proto-Central Pacific	0.9987386022254305	0.0012613977745695038	122	10	0.08196721311475409	Absent	NA	NA
GB081	Proto-Eastern Polynesian	0.999454758740318	5.452412596819801e-4	122	10	0.08196721311475409	Absent	NA	NA
GB081	Proto-Oceanic	0.9984074062701231	0.0015925937298768497	122	10	0.08196721311475409	Absent	NA	NA
GB081	Proto-Polynesian	0.9991140927537658	8.85907246234136e-4	122	10	0.08196721311475409	Absent	NA	NA
GB082	Proto-Central Pacific	0.94717414696297475	0.052825853037025305	129	10	0.07751937984496124	Absent	NA	NA
GB082	Proto-Eastern Polynesian	0.9879541224262759	0.012045877573724155	129	10	0.07751937984496124	Absent	NA	NA
GB082	Proto-Oceanic	0.9431338567216752	0.05686614327832483	129	10	0.07751937984496124	Absent	0	True Negative
GB082	Proto-Polynesian	0.9794850284674713	0.020514971532528663	129	10	0.07751937984496124	Absent	NA	NA
GB083	Proto-Central Pacific	0.859932816780152	0.14006718321984804	128	18	0.140625	Absent	NA	NA
GB083	Proto-Eastern Polynesian	0.8718275456955832	0.12817245430441682	128	18	0.140625	Absent	NA	NA
GB083	Proto-Oceanic	0.8600505560351247	0.13994944396487533	128	18	0.140625	Absent	0	True Negative
GB083	Proto-Polynesian	0.8662726504407008	0.13372734955929919	128	18	0.140625	Absent	NA	NA
GB084	Proto-Central Pacific	0.9429314028092305	0.05706859719076951	128	21	0.1640625	Absent	NA	NA
GB084	Proto-Eastern Polynesian	0.9988490074963986	0.0011509925036014142	128	21	0.1640625	Absent	NA	NA
GB084	Proto-Oceanic	0.9822298705452777	0.017770129454722373	128	21	0.1640625	Absent	0	True Negative
GB084	Proto-Polynesian	0.9961502743758202	0.0038497256241798966	128	21	0.1640625	Absent	NA	NA
GB086	Proto-Central Pacific	0.7283652072849469	0.2716347927150531	121	40	0.3305785123966942	Absent	NA	NA
GB086	Proto-Eastern Polynesian	0.9832381566117496	0.016761843388250333	121	40	0.3305785123966942	Absent	NA	NA
GB086	Proto-Oceanic	0.671475756221212	0.32852424377878797	121	40	0.3305785123966942	Absent	1	False Negative
GB086	Proto-Polynesian	0.965876253099955	0.034123746900045084	121	40	0.3305785123966942	Absent	NA	NA
GB089	Proto-Central Pacific	0.990484134524517	0.009515865475482964	129	13	0.10077519379844961	Absent	NA	NA
GB089	Proto-Eastern Polynesian	0.9959621165102328	0.004037883489767188	129	13	0.10077519379844961	Absent	NA	NA
GB089	Proto-Oceanic	0.9959566855150672	0.004043314484932754	129	13	0.10077519379844961	Absent	0	True Negative
GB089	Proto-Polynesian	0.9958349695403952	0.004165030459604796	129	13	0.10077519379844961	Absent	NA	NA
GB090	Proto-Central Pacific	0.8459976888949997	0.15400231110500032	129	51	0.3953488372093023	Absent	NA	NA
GB090	Proto-Eastern Polynesian	0.9999103188356544	8.968116434564535e-5	129	51	0.3953488372093023	Absent	NA	NA
GB090	Proto-Oceanic	0.15399066653200105	0.8460093334679989	129	51	0.3953488372093023	Present	1	True Positive
GB090	Proto-Polynesian	0.9952296267636359	0.004770373236364129	129	51	0.3953488372093023	Absent	NA	NA
GB091	Proto-Central Pacific	0.9966622430840091	0.0033377569159908837	126	10	0.07936507936507936	Absent	NA	NA
GB091	Proto-Eastern Polynesian	0.9975623401420686	0.0024376598579314464	126	10	0.07936507936507936	Absent	NA	NA
GB091	Proto-Oceanic	0.996587729583547	0.0034122704164529618	126	10	0.07936507936507936	Absent	0	True Negative
GB091	Proto-Polynesian	0.9973411803582899	0.002658819641710128	126	10	0.07936507936507936	Absent	NA	NA
GB092	Proto-Central Pacific	0.7860345142673709	0.21396548573262905	125	46	0.368	Absent	NA	NA
GB092	Proto-Eastern Polynesian	0.9998752394228458	1.2476057715414044e-4	125	46	0.368	Absent	NA	NA
GB092	Proto-Oceanic	0.03488460014365495	0.9651153998563451	125	46	0.368	Present	1	True Positive
GB092	Proto-Polynesian	0.9969222536635256	0.003077746336474406	125	46	0.368	Absent	NA	NA
GB093	Proto-Central Pacific	0.27762867503932587	0.7223713249606741	128	52	0.40625	Present	NA	NA
GB093	Proto-Eastern Polynesian	0.9999618753451532	3.8124654846784426e-5	128	52	0.40625	Absent	NA	NA
GB093	Proto-Oceanic	5.607433290208684e-4	0.9994392566709791	128	52	0.40625	Present	1	True Positive
GB093	Proto-Polynesian	0.9817200496729782	0.01827995032702182	128	52	0.40625	Absent	NA	NA
GB094	Proto-Central Pacific	0.9827506515922775	0.01724934840772247	128	2	0.015625	Absent	NA	NA
GB094	Proto-Eastern Polynesian	0.9938680381838418	0.00613196181615817	128	2	0.015625	Absent	NA	NA
GB094	Proto-Oceanic	0.9820405710777421	0.017959428922257867	128	2	0.015625	Absent	0	True Negative
GB094	Proto-Polynesian	0.9915108651392409	0.008489134860759119	128	2	0.015625	Absent	NA	NA
GB095	Proto-Central Pacific	0.9690978514109556	0.030902148589044397	115	6	0.05217391304347826	Absent	NA	NA
GB095	Proto-Eastern Polynesian	0.9975011942685802	0.0024988057314198624	115	6	0.05217391304347826	Absent	NA	NA
GB095	Proto-Oceanic	0.9617617693761972	0.038238230623802806	115	6	0.05217391304347826	Absent	NA	NA
GB095	Proto-Polynesian	0.9948447851154947	0.005155214884505374	115	6	0.05217391304347826	Absent	NA	NA
GB096	Proto-Central Pacific	0.8705393236057825	0.12946067639421752	116	15	0.12931034482758622	Absent	NA	NA
GB096	Proto-Eastern Polynesian	0.8704775301568307	0.1295224698431693	116	15	0.12931034482758622	Absent	NA	NA
GB096	Proto-Oceanic	0.8705408931864571	0.12945910681354292	116	15	0.12931034482758622	Absent	NA	NA
GB096	Proto-Polynesian	0.8705274462187934	0.12947255378120662	116	15	0.12931034482758622	Absent	NA	NA
GB098	Proto-Central Pacific	0.9242500172915687	0.07574998270843122	116	22	0.1896551724137931	Absent	NA	NA
GB098	Proto-Eastern Polynesian	0.9575412762210296	0.04245872377897039	116	22	0.1896551724137931	Absent	NA	NA
GB098	Proto-Oceanic	0.9272175006229838	0.07278249937701618	116	22	0.1896551724137931	Absent	NA	NA
GB098	Proto-Polynesian	0.9556095173632219	0.044390482636778125	116	22	0.1896551724137931	Absent	NA	NA
GB099	Proto-Central Pacific	0.9988839487619441	0.0011160512380559637	102	2	0.0196078431372549	Absent	NA	NA
GB099	Proto-Eastern Polynesian	0.9995207169082156	4.7928309178433106e-4	102	2	0.0196078431372549	Absent	NA	NA
GB099	Proto-Oceanic	0.9971221155137427	0.002877884486257281	102	2	0.0196078431372549	Absent	NA	NA
GB099	Proto-Polynesian	0.9988839487619441	0.0011160512380559637	102	2	0.0196078431372549	Absent	NA	NA
GB103	Proto-Central Pacific	0.9883638334464856	0.011636166553514371	106	14	0.1320754716981132	Absent	NA	NA
GB103	Proto-Eastern Polynesian	0.9959347189689398	0.004065281031060201	106	14	0.1320754716981132	Absent	NA	NA
GB103	Proto-Oceanic	0.9885339493503054	0.011466050649694609	106	14	0.1320754716981132	Absent	NA	NA
GB103	Proto-Polynesian	0.9953160958485789	0.004683904151421087	106	14	0.1320754716981132	Absent	NA	NA
